"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Anselm Gawne","M",21,"66",46,2002-03-11,"Account Executive","Argiculture","High Net Worth","No",1
"Sibyl Scholtz","F",21,"1888",67,2002-01-26,"Food Chemist","Health","Mass Customer","Yes",1
"Stevena Allcock","F",21,"3435",80,2002-01-15,"Senior Editor",NA,"Affluent Customer","No",1
"Benedicto Radki","M",21,"2858",4,2002-01-09,"Recruiting Manager",NA,"Mass Customer","Yes",1
"Vito Norker","M",21,"422",78,2002-01-06,NA,"Manufacturing","Affluent Customer","No",1
"Nathalia Sanger","F",21,"2296",16,2002-01-01,"Geologist IV","Retail","Affluent Customer","No",1
"Darbee Klimowicz","M",22,"470",22,2001-12-19,"Internal Auditor","Retail","Mass Customer","No",1
"Costa Sleightholm","M",22,"3949",24,2001-12-19,"Web Designer IV","Manufacturing","High Net Worth","Yes",1
"Hillier Andraud","M",22,"1402",58,2001-12-08,"Assistant Professor","Telecommunications","Mass Customer","No",1
"Marwin Jeyness","M",22,"1519",35,2001-11-30,"Administrative Assistant IV","Telecommunications","High Net Worth","Yes",1
"Nanice Ellse","F",22,"212",21,2001-11-19,"Desktop Support Technician","IT","Affluent Customer","No",1
"Melodee Hendrik","F",22,"2759",16,2001-11-14,"Operator","Health","Affluent Customer","Yes",1
"Brittany Peasey","F",22,"447",98,2001-11-06,"Help Desk Technician","Argiculture","Mass Customer","Yes",1
"Jacklyn Kewley","F",22,"1250",42,2001-11-02,"Help Desk Technician","Manufacturing","Mass Customer","No",1
"Amie Dufty","F",22,"751",41,2001-10-31,"Business Systems Development Analyst","Financial Services","Affluent Customer","No",1
"Kathye Christie","F",22,"1322",37,2001-10-16,"Data Coordiator","Financial Services","Mass Customer","Yes",1
"Angelo","M",22,"3173",55,2001-10-10,"Computer Systems Analyst I","Health","Mass Customer","Yes",1
"Linc Vedyasov","M",22,"442",2,2001-10-06,NA,"Financial Services","Mass Customer","No",1
"Noell Grahlmans","F",22,"245",6,2001-09-26,"Associate Professor","Financial Services","Affluent Customer","No",1
"Maribeth Pristnor","F",22,"105",25,2001-09-17,"Recruiting Manager","Manufacturing","Mass Customer","No",1
"Blanch Nisuis","F",22,"3997",87,2001-07-13,"Statistician II","Manufacturing","High Net Worth","Yes",1
"Preston Tinkham","M",22,"2808",68,2001-06-29,"Actuary","Financial Services","Mass Customer","Yes",1
"Lissy Paliser","F",22,"3254",8,2001-05-22,"Human Resources Assistant I","Financial Services","Mass Customer","No",1
"Troy Blaydes","M",22,"3607",99,2001-05-22,"Clinical Specialist","Health","Mass Customer","No",1
"Giselbert Gudyer","M",22,"2628",29,2001-05-21,"Assistant Media Planner","Entertainment","Affluent Customer","No",1
"Reeva Eakeley","F",22,"1813",45,2001-05-19,"Technical Writer","Manufacturing","Mass Customer","No",1
"Howard Oseland","M",22,"874",78,2001-05-05,NA,"Health","Mass Customer","Yes",1
"Tresa Dy","F",22,"540",80,2001-04-28,"Chemical Engineer","Manufacturing","Mass Customer","No",1
"Terri Gornal","M",22,"3112",41,2001-04-22,"Internal Auditor","Retail","High Net Worth","Yes",1
"Blondelle Swynley","F",22,"3749",3,2001-04-21,NA,"IT","Affluent Customer","No",1
"Sorcha Keyson","F",22,"19",76,2001-04-15,"Geological Engineer","Manufacturing","High Net Worth","No",1
"Isador Hallitt","M",22,"1355",37,2001-04-04,"VP Quality Control","Property","Mass Customer","No",1
"Vale Dagnan","M",22,"3616",42,2001-04-02,"Product Engineer","Property","High Net Worth","No",2
