"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Anselm Gawne","M",21,"66",46,"Account Executive","Argiculture","High Net Worth","No",1
"Sibyl Scholtz","F",21,"1888",67,"Food Chemist","Health","Mass Customer","Yes",1
"Stevena Allcock","F",21,"3435",80,"Senior Editor","Manufacturing","Affluent Customer","No",1
"Benedicto Radki","M",21,"2858",4,"Recruiting Manager","Manufacturing","Mass Customer","Yes",1
"Vito Norker","M",21,"422",78,"Staff Scientist","Manufacturing","Affluent Customer","No",1
"Nathalia Sanger","F",21,"2296",16,"Geologist IV","Retail","Affluent Customer","No",1
"Darbee Klimowicz","M",22,"470",22,"Internal Auditor","Retail","Mass Customer","No",1
"Costa Sleightholm","M",22,"3949",24,"Web Designer IV","Manufacturing","High Net Worth","Yes",1
"Hillier Andraud","M",22,"1402",58,"Assistant Professor","Telecommunications","Mass Customer","No",1
"Marwin Jeyness","M",22,"1519",35,"Administrative Assistant IV","Telecommunications","High Net Worth","Yes",1
"Nanice Ellse","F",22,"212",21,"Desktop Support Technician","IT","Affluent Customer","No",1
"Melodee Hendrik","F",22,"2759",16,"Operator","Health","Affluent Customer","Yes",1
"Brittany Peasey","F",22,"447",98,"Help Desk Technician","Argiculture","Mass Customer","Yes",1
"Jacklyn Kewley","F",22,"1250",42,"Help Desk Technician","Manufacturing","Mass Customer","No",1
"Amie Dufty","F",22,"751",41,"Business Systems Development Analyst","Financial Services","Affluent Customer","No",1
"Kathye Christie","F",22,"1322",37,"Data Coordiator","Financial Services","Mass Customer","Yes",1
"Angelo","M",22,"3173",55,"Computer Systems Analyst I","Health","Mass Customer","Yes",1
"Linc Vedyasov","M",22,"442",2,"Recruiting Manager","Financial Services","Mass Customer","No",1
"Noell Grahlmans","F",22,"245",6,"Associate Professor","Financial Services","Affluent Customer","No",1
"Maribeth Pristnor","F",22,"105",25,"Recruiting Manager","Manufacturing","Mass Customer","No",1
"Blanch Nisuis","F",22,"3997",87,"Statistician II","Manufacturing","High Net Worth","Yes",1
"Preston Tinkham","M",22,"2808",68,"Actuary","Financial Services","Mass Customer","Yes",1
"Lissy Paliser","F",22,"3254",8,"Human Resources Assistant I","Financial Services","Mass Customer","No",1
"Troy Blaydes","M",22,"3607",99,"Clinical Specialist","Health","Mass Customer","No",1
"Giselbert Gudyer","M",22,"2628",29,"Assistant Media Planner","Entertainment","Affluent Customer","No",1
"Reeva Eakeley","F",22,"1813",45,"Technical Writer","Manufacturing","Mass Customer","No",1
"Howard Oseland","M",22,"874",78,"Registered Nurse","Health","Mass Customer","Yes",1
"Tresa Dy","F",22,"540",80,"Chemical Engineer","Manufacturing","Mass Customer","No",1
"Terri Gornal","M",22,"3112",41,"Internal Auditor","Retail","High Net Worth","Yes",1
"Blondelle Swynley","F",22,"3749",3,"Senior Sales Associate","IT","Affluent Customer","No",1
"Sorcha Keyson","F",22,"19",76,"Geological Engineer","Manufacturing","High Net Worth","No",1
"Isador Hallitt","M",22,"1355",37,"VP Quality Control","Property","Mass Customer","No",1
"Vale Dagnan","M",22,"3616",42,"Product Engineer","Property","High Net Worth","No",2
"Molli Hagergham","F",22,"2812",16,"Budget/Accounting Analyst IV","Retail","High Net Worth","Yes",1
"Terrijo Merlin","F",22,"3014",59,"Software Engineer II","Property","High Net Worth","No",1
"Darnell Wistance","M",22,"2600",55,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",1
"Byran Goodfield","M",22,"829",84,"Environmental Tech","Financial Services","High Net Worth","Yes",2
"Gavra Woolvin","F",22,"2869",19,"Chemical Engineer","Manufacturing","Affluent Customer","No",2
"Isadora Gronaller","F",22,"2392",48,"Marketing Assistant","Manufacturing","Affluent Customer","No",2
"Kimball Martinho","M",22,"2588",37,"Professor","Health","High Net Worth","No",2
"Quintana Housley","F",23,"2998",34,"Nurse Practicioner","Manufacturing","High Net Worth","Yes",2
"Melisse Massei","F",23,"3367",75,"Librarian","Entertainment","Mass Customer","Yes",1
"Emelda Ramsdell","F",23,"3459",62,"Assistant Media Planner","Entertainment","Mass Customer","Yes",2
"Margalit Dorwood","F",23,"609",32,"Computer Systems Analyst II","Health","Mass Customer","No",1
"Andie Bonney","F",23,"852",37,"Compensation Analyst","Financial Services","Affluent Customer","Yes",2
"Dayle Spearman","F",23,"913",67,"VP Marketing","Financial Services","Mass Customer","No",1
"Mort","M",23,"2989",37,"Dental Hygienist","Health","High Net Worth","Yes",2
"Charisse Thoresby","F",23,"854",35,"Marketing Manager","IT","Affluent Customer","No",2
"Karee Hyman","F",23,"1354",0,"Analyst Programmer","Financial Services","Affluent Customer","No",2
"Eunice Risom","F",23,"1798",46,"Electrical Engineer","Manufacturing","High Net Worth","Yes",1
"Mirelle","F",23,"2398",6,"Administrative Assistant IV","Financial Services","High Net Worth","Yes",1
"Nevin Hanfrey","M",23,"850",79,"Clinical Specialist","Health","Mass Customer","No",1
"Queenie Flips","F",23,"3015",25,"Assistant Manager","Retail","Affluent Customer","No",1
"Eva Colenutt","F",23,"373",95,"Structural Analysis Engineer","Health","High Net Worth","Yes",1
"Emelen Gillopp","M",23,"3077",19,"Information Systems Manager","Manufacturing","Affluent Customer","No",2
"Sascha St. Quintin","M",23,"110",23,"VP Accounting","Financial Services","Affluent Customer","No",1
"Emera Margrem","F",23,"1778",72,"Staff Accountant III","Property","Mass Customer","Yes",2
"Xena Rossbrooke","F",23,"1185",17,"VP Product Management","Retail","Mass Customer","Yes",2
"Elinor Biggerstaff","F",23,"2024",69,"VP Sales","IT","Mass Customer","Yes",2
"Erroll Radage","M",23,"15",91,"Junior Executive","Manufacturing","Mass Customer","No",1
"Ado Yaldren","M",23,"2645",20,"Technical Writer","IT","High Net Worth","Yes",1
"Rockie MacCosty","M",23,"1951",93,"Health Coach II","Manufacturing","Mass Customer","Yes",2
"Siegfried Trattles","M",23,"1076",33,"Pharmacist","Health","Affluent Customer","No",2
"Meagan Ferry","F",23,"2731",74,"Accounting Assistant III","Retail","Mass Customer","Yes",1
"Roch Rilston","F",23,"3482",71,"Clinical Specialist","Health","Affluent Customer","Yes",2
"Meggi Shipcott","F",23,"2729",76,"General Manager","Health","Mass Customer","Yes",1
"Aloysius Huffer","M",23,"2504",52,"Statistician II","Property","Mass Customer","No",2
"Rabi Nissle","M",23,"519",83,"Statistician III","Retail","Mass Customer","Yes",1
"Zed Blanckley","M",23,"3201",61,"Assistant Professor","Financial Services","Mass Customer","Yes",1
"Hobart Burgan","M",23,"3960",6,"Web Developer IV","Property","Mass Customer","No",1
"Cleveland Islep","M",23,"2541",17,"Software Engineer II","Financial Services","High Net Worth","Yes",2
"Orson Tythacott","M",23,"3363",25,"Electrical Engineer","Manufacturing","High Net Worth","Yes",3
"Wood Nathan","M",23,"3089",27,"Web Developer III","Manufacturing","Affluent Customer","Yes",2
"Crosby Ruoff","M",23,"2134",16,"Nurse","Manufacturing","Affluent Customer","No",2
"Richardo Cocher","M",23,"2938",79,"Assistant Manager","Argiculture","Affluent Customer","No",2
"Niki Heathcote","M",23,"59",60,"Physical Therapy Assistant","IT","High Net Worth","No",3
"Archaimbaud McAteer","M",23,"3954",63,"Human Resources Assistant III","Financial Services","High Net Worth","No",2
"Christyna Feldberg","F",23,"1390",74,"Accounting Assistant I","Retail","High Net Worth","Yes",1
"Marris Waison","F",23,"1392",28,"Human Resources Manager","Financial Services","Mass Customer","No",1
"Odilia Bick","F",23,"2337",47,"Programmer Analyst II","Health","Mass Customer","No",1
"Sebastian Trass","M",23,"1229",38,"GIS Technical Architect","Manufacturing","Affluent Customer","Yes",1
"Alexandro McCullock","M",23,"3850",55,"Accountant III","Manufacturing","Mass Customer","Yes",2
"Griselda Bezants","F",24,"3423",57,"Registered Nurse","Health","Affluent Customer","No",1
"Monah Talbot","F",24,"1080",70,"Speech Pathologist","Property","Mass Customer","Yes",2
"Alvy Tyndall","M",24,"2431",15,"Senior Cost Accountant","Financial Services","Mass Customer","Yes",2
"Jerome Muggeridge","M",24,"435",5,"GIS Technical Architect","Telecommunications","Mass Customer","No",1
"Tomlin Hastwall","M",24,"644",59,"Administrative Officer","Health","Affluent Customer","No",2
"Samuele Heller","M",24,"3675",88,"Analog Circuit Design manager","Property","Affluent Customer","Yes",1
"Cy Braim","M",24,"2833",60,"Administrative Officer","IT","Mass Customer","Yes",3
"Ozzy Silver","M",24,"1599",65,"Programmer Analyst II","Manufacturing","Affluent Customer","No",1
"Baxie","M",24,"3651",91,"Human Resources Assistant I","Manufacturing","Mass Customer","No",2
"Nina Murcutt","F",24,"803",96,"Nuclear Power Engineer","Manufacturing","High Net Worth","No",3
"Andrea Wildber","M",24,"3063",74,"VP Sales","Financial Services","Affluent Customer","No",2
"Tonnie Andryunin","M",24,"1436",40,"General Manager","Manufacturing","Affluent Customer","No",3
"Darrelle Rosas","F",24,"3650",85,"Office Assistant I","IT","Mass Customer","Yes",2
"Sylvan Sugge","M",24,"1811",59,"Senior Financial Analyst","Financial Services","Mass Customer","No",1
"Reinhold Barthrup","M",24,"3460",22,"Actuary","Financial Services","Mass Customer","No",2
"April Causon","F",24,"967",44,"Sales Associate","Manufacturing","Affluent Customer","Yes",1
"Hyacinthia Tuley","F",24,"2006",33,"Senior Developer","Property","High Net Worth","Yes",2
"Meryl Dumbar","M",24,"951",44,"Assistant Media Planner","Entertainment","Mass Customer","No",1
"Clara Jakel","F",24,"2342",87,"Geologist III","Manufacturing","Mass Customer","No",2
"Hyacinthia Crain","F",24,"3757",75,"Information Systems Manager","Health","Affluent Customer","No",2
"Salem Doiley","M",24,"2093",94,"Programmer II","Financial Services","High Net Worth","No",2
"Kellia Martugin","F",24,"2521",35,"Chemical Engineer","Manufacturing","High Net Worth","Yes",3
"Viki Drache","F",24,"3055",96,"General Manager","Entertainment","Mass Customer","Yes",2
"Mahmud Dobbson","M",24,"842",59,"Compensation Analyst","Financial Services","High Net Worth","No",2
"Thorn Torfin","M",24,"1028",10,"Project Manager","Health","High Net Worth","No",1
"Aarika Van Vuuren","F",24,"164",55,"Senior Editor","Retail","Affluent Customer","Yes",1
"Katrina Sappson","F",24,"931",59,"Design Engineer","Manufacturing","Affluent Customer","Yes",1
"Karen La Wille","F",24,"2755",66,"Automation Specialist I","Manufacturing","Mass Customer","Yes",1
"Winny Cakes","M",24,"2929",97,"Nurse","Retail","Mass Customer","No",2
"Cliff Nolin","M",24,"3386",24,"Structural Engineer","IT","High Net Worth","Yes",2
"Kalli Pigeram","F",24,"1430",86,"Biostatistician I","Manufacturing","Mass Customer","Yes",3
"Boyd","M",24,"3188",94,"Actuary","Financial Services","Mass Customer","No",1
"Leanora Calbert","F",24,"2259",83,"Environmental Specialist","Financial Services","Affluent Customer","No",2
"Nicolas Burdass","M",24,"3989",75,"Environmental Specialist","Argiculture","Affluent Customer","Yes",1
"Allyson Simak","F",24,"3953",79,"Help Desk Operator","Health","Affluent Customer","Yes",2
"Henrietta Seater","F",24,"804",98,"Technical Writer","Health","High Net Worth","Yes",1
"Marc Egleton","M",24,"914",73,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",2
"Dolf Serridge","M",24,"3908",64,"Junior Executive","Health","High Net Worth","No",1
"Lettie McGenis","F",24,"3152",6,"Teacher","Financial Services","High Net Worth","Yes",3
"Horacio Kitchin","M",24,"2543",41,"Web Developer III","Manufacturing","Affluent Customer","No",2
"Hewett Alessandretti","M",24,"1984",70,"Information Systems Manager","Health","Mass Customer","Yes",1
"Fredi Iannuzzelli","F",24,"334",71,"Financial Advisor","Financial Services","Affluent Customer","Yes",3
"Levy Bonavia","M",24,"377",65,"Staff Scientist","Argiculture","Mass Customer","No",1
"Dev Hafner","M",24,"351",69,"Pharmacist","Health","Mass Customer","Yes",2
"Eda MacCheyne","F",24,"3133",89,"Quality Control Specialist","Manufacturing","Mass Customer","No",2
"Henderson Koubek","M",24,"2620",26,"Civil Engineer","Manufacturing","Mass Customer","No",1
"Elysee Spurr","F",24,"3379",51,"Food Chemist","Health","Mass Customer","Yes",2
"Stephana Minero","F",24,"361",59,"Software Engineer IV","Health","Mass Customer","Yes",2
"Tish Netti","F",24,"421",26,"Sales Representative","Retail","Mass Customer","Yes",2
"Jayme Baunton","F",24,"586",63,"Chief Design Engineer","Manufacturing","Mass Customer","No",4
