"customer_name","gender","age","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","country","property_valuation"
"Chickie Brister","M",66,86,1957-07-12,"General Manager","Manufacturing","Mass Customer","Yes",14,"45 Shopko Center","4500","QLD","Australia",6
"Morly Genery","M",53,69,1970-03-22,"Structural Engineer","Property","Mass Customer","No",16,"14 Mccormick Park","2113","NSW","Australia",11
"Lucine Stutt","F",44,64,1979-01-28,"Account Representative III","Manufacturing","Affluent Customer","Yes",5,"207 Annamark Plaza","4814","QLD","Australia",1
"Melinda Hadlee","F",58,34,1965-09-21,"Financial Analyst","Financial Services","Affluent Customer","No",19,"115 Montana Place","2093","NSW","Australia",9
"Druci Brandli","F",72,39,1951-04-29,"Assistant Media Planner","Entertainment","High Net Worth","Yes",22,"89105 Pearson Terrace","4075","QLD","Australia",7
"Rutledge Hallt","M",47,23,1976-10-06,"Compensation Analyst","Financial Services","Mass Customer","No",8,"7 Nevada Crossing","2620","NSW","Australia",7
"Nancie Vian","F",51,74,1972-12-27,"Human Resources Assistant II","Retail","Mass Customer","Yes",10,"85 Carioca Point","4814","QLD","Australia",5
"Duff Karlowicz","M",51,50,1972-04-28,"Speech Pathologist","Manufacturing","Mass Customer","Yes",5,"717 West Drive","2200","NSW","Australia",10
"Barthel Docket","M",38,72,1985-08-02,"Accounting Assistant IV","IT","Mass Customer","Yes",17,"80 Scofield Junction","4151","QLD","Australia",5
"Rockwell Matson","M",28,94,1995-01-01,"Programmer Analyst I","Retail","High Net Worth","No",3,"3682 Crowley Point","4573","QLD","Australia",6
"Wheeler Winward","M",24,48,1999-08-30,"Environmental Specialist","Manufacturing","Mass Customer","No",10,"3 Golden Leaf Point","3216","VIC","Australia",8
"Olag","M",33,60,1990-05-13,"Human Resources Manager","Telecommunications","Mass Customer","No",9,"0484 North Avenue","2032","NSW","Australia",11
"Melba Spellacy","F",47,38,1976-12-09,"VP Marketing","Health","Mass Customer","No",4,"0591 Anzinger Circle","2232","NSW","Australia",10
"Mandie Feares","F",59,32,1964-04-19,"Clinical Specialist","Health","Mass Customer","No",10,"39 Kedzie Pass","4053","QLD","Australia",8
"Dukie Swire","M",69,88,1954-03-31,NA,"Manufacturing","Affluent Customer","Yes",5,"64 Granby Parkway","2500","NSW","Australia",8
"Marcelia Monkleigh","F",30,61,1993-08-22,"Associate Professor","Manufacturing","Mass Customer","Yes",4,"610 Swallow Street","4051","QLD","Australia",6
"Odilia Quick","F",85,65,1938-11-09,"General Manager","Manufacturing","Affluent Customer","Yes",11,"1550 Russell Way","2222","NSW","Australia",11
