"customer_name","gender","age","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","country","property_valuation"
"Chickie Brister","M",66,86,"General Manager","Manufacturing","Mass Customer","Yes",14,"45 Shopko Center","4500","QLD","Australia",6
"Morly Genery","M",53,69,"Structural Engineer","Property","Mass Customer","No",16,"14 Mccormick Park","2113","NSW","Australia",11
"Lucine Stutt","F",44,64,"Account Representative III","Manufacturing","Affluent Customer","Yes",5,"207 Annamark Plaza","4814","QLD","Australia",1
"Melinda Hadlee","F",58,34,"Financial Analyst","Financial Services","Affluent Customer","No",19,"115 Montana Place","2093","NSW","Australia",9
"Druci Brandli","F",72,39,"Assistant Media Planner","Entertainment","High Net Worth","Yes",22,"89105 Pearson Terrace","4075","QLD","Australia",7
"Rutledge Hallt","M",47,23,"Compensation Analyst","Financial Services","Mass Customer","No",8,"7 Nevada Crossing","2620","NSW","Australia",7
"Nancie Vian","F",51,74,"Human Resources Assistant II","Retail","Mass Customer","Yes",10,"85 Carioca Point","4814","QLD","Australia",5
"Duff Karlowicz","M",51,50,"Speech Pathologist","Manufacturing","Mass Customer","Yes",5,"717 West Drive","2200","NSW","Australia",10
"Barthel Docket","M",38,72,"Accounting Assistant IV","IT","Mass Customer","Yes",17,"80 Scofield Junction","4151","QLD","Australia",5
"Rockwell Matson","M",28,94,"Programmer Analyst I","Retail","High Net Worth","No",3,"3682 Crowley Point","4573","QLD","Australia",6
"Wheeler Winward","M",24,48,"Environmental Specialist","Manufacturing","Mass Customer","No",10,"3 Golden Leaf Point","3216","VIC","Australia",8
"Olag","M",33,60,"Human Resources Manager","Telecommunications","Mass Customer","No",9,"0484 North Avenue","2032","NSW","Australia",11
"Melba Spellacy","F",47,38,"VP Marketing","Health","Mass Customer","No",4,"0591 Anzinger Circle","2232","NSW","Australia",10
"Mandie Feares","F",59,32,"Clinical Specialist","Health","Mass Customer","No",10,"39 Kedzie Pass","4053","QLD","Australia",8
"Dukie Swire","M",69,88,"Computer Systems Analyst I","Manufacturing","Affluent Customer","Yes",5,"64 Granby Parkway","2500","NSW","Australia",8
"Marcelia Monkleigh","F",30,61,"Associate Professor","Manufacturing","Mass Customer","Yes",4,"610 Swallow Street","4051","QLD","Australia",6
"Odilia Quick","F",85,65,"General Manager","Manufacturing","Affluent Customer","Yes",11,"1550 Russell Way","2222","NSW","Australia",11
"Karly Willavize","F",69,2,"Internal Auditor","Manufacturing","High Net Worth","No",12,"193 North Point","2190","NSW","Australia",10
"Teddie Burchill","M",55,11,"Programmer I","Manufacturing","Mass Customer","Yes",13,"321 Raven Plaza","2161","NSW","Australia",9
"Gaston Dallaghan","M",30,44,"Financial Analyst","Financial Services","Mass Customer","Yes",8,"656 Fuller Street","2783","NSW","Australia",7
"Otis Ottey","M",25,26,"Quality Engineer","Manufacturing","Mass Customer","No",3,"1562 Merchant Street","4744","QLD","Australia",4
"Brena Schnitter","F",41,78,"Account Executive","Manufacturing","Mass Customer","No",4,"67 Shelley Street","4703","QLD","Australia",5
"Rourke Gillbard","M",78,11,"VP Quality Control","Property","Mass Customer","No",17,"75 Cordelia Trail","4817","QLD","Australia",4
"Dyane Burwell","F",71,19,"Engineer II","Retail","Mass Customer","Yes",7,"51 Hooker Court","2640","NSW","Australia",2
"Claudine Barstowk","F",57,71,"Nurse","Property","High Net Worth","Yes",5,"1859 Forest Circle","4000","QLD","Australia",11
"Blinnie Roze","F",63,84,"Librarian","Entertainment","High Net Worth","No",11,"44557 Rutledge Court","4171","QLD","Australia",7
"Rhona De Freyne","F",63,45,"Programmer III","Health","High Net Worth","No",8,"11184 East Drive","3056","VIC","Australia",10
"Sharron Claibourn","F",43,62,"Senior Sales Associate","Financial Services","High Net Worth","Yes",17,"555 Hermina Avenue","2280","NSW","Australia",8
"Brien Heaton","M",72,70,"Clinical Specialist","Health","Mass Customer","Yes",12,"8 Novick Trail","2470","NSW","Australia",2
"Sybilla MacCart","F",36,88,"Paralegal","Financial Services","Mass Customer","Yes",7,"74 Welch Pass","2620","NSW","Australia",7
"Mikel McNess","M",42,71,"Nurse","IT","Mass Customer","No",9,"3 Pleasure Drive","4122","QLD","Australia",9
"Arleen Casbolt","F",48,48,"Senior Quality Engineer","Financial Services","Affluent Customer","Yes",13,"41042 Lotheville Crossing","4817","QLD","Australia",1
"Farlie Petford","M",55,76,"Recruiting Manager","Property","High Net Worth","No",13,"2330 Butternut Trail","2017","NSW","Australia",10
"Mitchell MacCague","M",44,58,"Help Desk Operator","Manufacturing","Mass Customer","No",15,"240 Acker Avenue","3190","VIC","Australia",8
"Garik Whitwell","M",68,44,"Human Resources Assistant II","Property","Mass Customer","Yes",13,"04 Dexter Way","3280","VIC","Australia",2
"Antonin Britt","M",30,64,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",8,"011 Northland Trail","2160","NSW","Australia",9
"Vinny Incogna","F",70,73,"Operator","Health","High Net Worth","No",10,"8 Grayhawk Circle","2756","NSW","Australia",8
"Colene Fishleigh","F",38,24,"Design Engineer","Financial Services","Mass Customer","No",3,"44 Darwin Lane","3149","VIC","Australia",10
"Neile Argent","F",77,79,"Sales Representative","Retail","Mass Customer","No",8,"2548 Arrowood Pass","2024","NSW","Australia",10
"Corinna Suggey","F",57,52,"Design Engineer","Health","Affluent Customer","No",9,"938 Ilene Road","2761","NSW","Australia",8
"Brooke Arling","M",62,76,"Geological Engineer","Health","High Net Worth","No",6,"6 Melby Center","3027","VIC","Australia",5
"Gipsy Ewestace","F",67,29,"Business Systems Development Analyst","Retail","High Net Worth","Yes",5,"08708 Moulton Park","2034","NSW","Australia",12
"Sheena Kybbye","F",67,14,"Paralegal","Financial Services","Affluent Customer","Yes",19,"306 Clemons Junction","4852","QLD","Australia",1
"Jobina Gobourn","F",29,85,"VP Quality Control","Property","High Net Worth","Yes",14,"18 Grim Road","4305","QLD","Australia",4
"Gale Disbrow","F",46,59,"Cost Accountant","Financial Services","Mass Customer","Yes",17,"169 Bashford Drive","3741","VIC","Australia",7
"Thaxter Kingsbury","M",73,12,"Product Engineer","Argiculture","Mass Customer","No",20,"3 Vermont Lane","2067","NSW","Australia",12
"Taylor Steuhlmeyer","M",24,62,"Paralegal","Financial Services","Affluent Customer","Yes",5,"64 Mcguire Trail","4017","QLD","Australia",8
"Griswold Kelsall","M",30,55,"Social Worker","Health","High Net Worth","Yes",11,"74127 Blaine Point","3805","VIC","Australia",7
"Odessa Mc Andrew","F",42,97,"Research Assistant IV","Property","Mass Customer","No",8,"31756 Meadow Valley Lane","2232","NSW","Australia",10
"Lavena Seekings","F",28,87,"Payment Adjustment Coordinator","Retail","Mass Customer","No",16,"293 Mayfield Street","3166","VIC","Australia",10
"Martelle Tuppeny","F",42,52,"Marketing Assistant","Manufacturing","Mass Customer","No",9,"261 Grayhawk Way","2226","NSW","Australia",10
"Briant Ladley","M",44,75,"Recruiter","Argiculture","Mass Customer","No",12,"2 Schlimgen Terrace","2750","NSW","Australia",8
"Marylou Kirkup","F",51,51,"VP Product Management","Retail","Mass Customer","No",14,"76733 Sunbrook Terrace","3196","VIC","Australia",9
"Whittaker","M",57,64,"Media Manager III","IT","Mass Customer","Yes",8,"683 Florence Way","3156","VIC","Australia",5
"Lorrie Antonelli","M",40,47,"Cost Accountant","Financial Services","High Net Worth","Yes",17,"06936 Bobwhite Circle","2257","NSW","Australia",7
"Jedediah Kedie","M",52,31,"Developer I","Argiculture","Mass Customer","Yes",9,"283 Acker Drive","2763","NSW","Australia",9
"Kaine Smallcombe","M",81,59,"Senior Financial Analyst","Financial Services","High Net Worth","No",11,"9 Mosinee Parkway","2072","NSW","Australia",10
"Loise Iltchev","F",56,70,"Electrical Engineer","Manufacturing","High Net Worth","Yes",17,"45 Becker Place","4504","QLD","Australia",6
"Cristen Maroney","F",24,22,"Accountant IV","IT","High Net Worth","Yes",7,"27 Karstens Crossing","4214","QLD","Australia",7
"Dorothy Barnardo","F",40,58,"Human Resources Manager","Retail","High Net Worth","No",12,"9630 Cottonwood Avenue","2168","NSW","Australia",8
"Rosmunda Duxbarry","F",27,69,"Executive Secretary","Property","Affluent Customer","Yes",5,"989 Graedel Terrace","4208","QLD","Australia",11
"Rozamond Riha","F",39,54,"Account Representative I","Manufacturing","Affluent Customer","Yes",16,"76 Bartelt Center","4078","QLD","Australia",7
"Gunner Petti","M",24,62,"Executive Secretary","Financial Services","High Net Worth","Yes",3,"29778 Mendota Drive","4036","QLD","Australia",5
"Vivienne Crayden","F",35,82,"Associate Professor","Financial Services","High Net Worth","Yes",6,"69 Algoma Center","4173","QLD","Australia",7
"Sherilyn Canero","F",27,11,"Dental Hygienist","Health","High Net Worth","Yes",13,"8288 Lyons Way","2484","NSW","Australia",7
"Bessie Roscow","F",29,78,"GIS Technical Architect","Financial Services","Mass Customer","No",9,"4185 Florence Trail","2121","NSW","Australia",10
"Kevina Ferandez","F",24,73,"Assistant Professor","Financial Services","High Net Worth","No",15,"9608 Heffernan Drive","4068","QLD","Australia",9
"Yancy Clementet","M",55,5,"Mechanical Systems Engineer","Manufacturing","High Net Worth","No",15,"9 Union Center","2147","NSW","Australia",9
"Mabelle Wellbelove","F",65,76,"VP Accounting","Financial Services","Affluent Customer","Yes",19,"800 Emmet Park","2219","NSW","Australia",9
"Hasheem Groucock","M",49,98,"Budget/Accounting Analyst IV","Manufacturing","High Net Worth","Yes",10,"12351 Spenser Pass","2034","NSW","Australia",12
