"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Recency","Frequency","Monetary","RFM_Score","Target"
"Anselm Gawne","M",21,66,46,"Account Executive","Argiculture","High Net Worth","No",1,"163","Straubel Trail",2217,"NSW","Australia",10,2224,5,4549.2,324,"Mid-Value"
"Sibyl Scholtz","F",21,1888,67,"Food Chemist","Health","Mass Customer","Yes",1,"9","Emmet Hill",2042,"NSW","Australia",10,2268,4,3288.04,213,"Low-Value"
"Stevena Allcock","F",21,3435,80,"Senior Editor","Manufacturing","Affluent Customer","No",1,"400","Petterle Crossing",4301,"QLD","Australia",3,2317,5,2294.25,122,"Low-Value"
"Benedicto Radki","M",21,2858,4,"Recruiting Manager","Manufacturing","Mass Customer","Yes",1,"555","Tomscot Plaza",2044,"NSW","Australia",10,2289,4,3119.32,113,"Low-Value"
"Vito Norker","M",21,422,78,"Staff Scientist","Manufacturing","Affluent Customer","No",1,"509","Fisk Hill",2031,"NSW","Australia",11,2314,4,2390.84,112,"Low-Value"
"Nathalia Sanger","F",21,2296,16,"Geologist IV","Retail","Affluent Customer","No",1,"23","Village Way",4215,"QLD","Australia",9,2217,4,3592.5,313,"Mid-Value"
"Darbee Klimowicz","M",22,470,22,"Internal Auditor","Retail","Mass Customer","No",1,"0","Golf Lane",2120,"NSW","Australia",11,2190,7,1890.57,432,"High-Value"
"Hillier Andraud","M",22,1402,58,"Assistant Professor","Telecommunications","Mass Customer","No",1,"42829","Charing Cross Road",3107,"VIC","Australia",8,2221,8,3067.58,343,"High-Value"
"Marwin Jeyness","M",22,1519,35,"Administrative Assistant IV","Telecommunications","High Net Worth","Yes",1,"7","Bartillon Circle",2260,"NSW","Australia",8,2189,11,3819.53,443,"High-Value"
"Nanice Ellse","F",22,212,21,"Desktop Support Technician","IT","Affluent Customer","No",1,"417","Transport Trail",4503,"QLD","Australia",4,2368,2,1790.41,111,"Low-Value"
"Melodee Hendrik","F",22,2759,16,"Operator","Health","Affluent Customer","Yes",1,"68111","Bartillon Court",3995,"VIC","Australia",3,2291,5,3775.9,123,"Low-Value"
"Brittany Peasey","F",22,447,98,"Help Desk Technician","Argiculture","Mass Customer","Yes",1,"93","Jana Junction",2213,"NSW","Australia",10,2181,5,2690.73,422,"High-Value"
"Jacklyn Kewley","F",22,1250,42,"Help Desk Technician","Manufacturing","Mass Customer","No",1,"795","Arapahoe Hill",4818,"QLD","Australia",7,2216,10,6093.26,344,"High-Value"
"Amie Dufty","F",22,751,41,"Business Systems Development Analyst","Financial Services","Affluent Customer","No",1,"5","Dahle Trail",2117,"NSW","Australia",10,2311,2,96.62,111,"Low-Value"
"Kathye Christie","F",22,1322,37,"Data Coordiator","Financial Services","Mass Customer","Yes",1,"276","Hoffman Road",4017,"QLD","Australia",8,2244,4,4008.84,213,"Low-Value"
"Angelo","M",22,3173,55,"Computer Systems Analyst I","Health","Mass Customer","Yes",1,"8","Erie Center",3690,"VIC","Australia",2,2226,6,4681.85,334,"Mid-Value"
"Linc Vedyasov","M",22,442,2,"Recruiting Manager","Financial Services","Mass Customer","No",1,"3","Sutteridge Park",4074,"QLD","Australia",6,2194,7,2789.25,432,"High-Value"
"Noell Grahlmans","F",22,245,6,"Associate Professor","Financial Services","Affluent Customer","No",1,"7227","Hoard Terrace",3500,"VIC","Australia",1,2193,5,2213.02,422,"High-Value"
"Maribeth Pristnor","F",22,105,25,"Recruiting Manager","Manufacturing","Mass Customer","No",1,"8611","Loomis Lane",2155,"NSW","Australia",10,2270,4,3475.04,113,"Low-Value"
"Preston Tinkham","M",22,2808,68,"Actuary","Financial Services","Mass Customer","Yes",1,"1","Elgar Street",2010,"NSW","Australia",9,2187,5,5190.91,424,"High-Value"
"Lissy Paliser","F",22,3254,8,"Human Resources Assistant I","Financial Services","Mass Customer","No",1,"50602","Katie Lane",4701,"QLD","Australia",6,2212,6,1592.05,331,"Mid-Value"
"Giselbert Gudyer","M",22,2628,29,"Assistant Media Planner","Entertainment","Affluent Customer","No",1,"804","Shelley Junction",2567,"NSW","Australia",7,2354,4,1808.92,112,"Low-Value"
"Reeva Eakeley","F",22,1813,45,"Technical Writer","Manufacturing","Mass Customer","No",1,"156","Lakeland Way",4035,"QLD","Australia",9,2199,6,2137.45,432,"High-Value"
"Howard Oseland","M",22,874,78,"Registered Nurse","Health","Mass Customer","Yes",1,"2","School Street",2010,"NSW","Australia",10,2227,8,2786.56,242,"Mid-Value"
"Tresa Dy","F",22,540,80,"Chemical Engineer","Manufacturing","Mass Customer","No",1,"7671","Oak Valley Junction",2170,"NSW","Australia",9,2260,6,1821.03,232,"Mid-Value"
