"customer_id","first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"66","Anselm","Gawne","M",46,2002-03-11,"Account Executive","Argiculture","High Net Worth","No",1
"1888","Sibyl","Scholtz","F",67,2002-01-26,"Food Chemist","Health","Mass Customer","Yes",1
"3435","Stevena","Allcock","F",80,2002-01-15,"Senior Editor",NA,"Affluent Customer","No",1
"2858","Benedicto","Radki","M",4,2002-01-09,"Recruiting Manager",NA,"Mass Customer","Yes",1
"422","Vito","Norker","M",78,2002-01-06,NA,"Manufacturing","Affluent Customer","No",1
"2296","Nathalia","Sanger","F",16,2002-01-01,"Geologist IV","Retail","Affluent Customer","No",1
"470","Darbee","Klimowicz","M",22,2001-12-19,"Internal Auditor","Retail","Mass Customer","No",1
"3949","Costa","Sleightholm","M",24,2001-12-19,"Web Designer IV","Manufacturing","High Net Worth","Yes",1
"1402","Hillier","Andraud","M",58,2001-12-08,"Assistant Professor","Telecommunications","Mass Customer","No",1
"1519","Marwin","Jeyness","M",35,2001-11-30,"Administrative Assistant IV","Telecommunications","High Net Worth","Yes",1
"212","Nanice","Ellse","F",21,2001-11-19,"Desktop Support Technician","IT","Affluent Customer","No",1
"2759","Melodee","Hendrik","F",16,2001-11-14,"Operator","Health","Affluent Customer","Yes",1
"447","Brittany","Peasey","F",98,2001-11-06,"Help Desk Technician","Argiculture","Mass Customer","Yes",1
"1250","Jacklyn","Kewley","F",42,2001-11-02,"Help Desk Technician","Manufacturing","Mass Customer","No",1
"751","Amie","Dufty","F",41,2001-10-31,"Business Systems Development Analyst","Financial Services","Affluent Customer","No",1
"1322","Kathye","Christie","F",37,2001-10-16,"Data Coordiator","Financial Services","Mass Customer","Yes",1
"3173","Angelo",NA,"M",55,2001-10-10,"Computer Systems Analyst I","Health","Mass Customer","Yes",1
"442","Linc","Vedyasov","M",2,2001-10-06,NA,"Financial Services","Mass Customer","No",1
"245","Noell","Grahlmans","F",6,2001-09-26,"Associate Professor","Financial Services","Affluent Customer","No",1
"105","Maribeth","Pristnor","F",25,2001-09-17,"Recruiting Manager","Manufacturing","Mass Customer","No",1
"3997","Blanch","Nisuis","F",87,2001-07-13,"Statistician II","Manufacturing","High Net Worth","Yes",1
"2808","Preston","Tinkham","M",68,2001-06-29,"Actuary","Financial Services","Mass Customer","Yes",1
"3254","Lissy","Paliser","F",8,2001-05-22,"Human Resources Assistant I","Financial Services","Mass Customer","No",1
"3607","Troy","Blaydes","M",99,2001-05-22,"Clinical Specialist","Health","Mass Customer","No",1
"2628","Giselbert","Gudyer","M",29,2001-05-21,"Assistant Media Planner","Entertainment","Affluent Customer","No",1
"1813","Reeva","Eakeley","F",45,2001-05-19,"Technical Writer","Manufacturing","Mass Customer","No",1
"874","Howard","Oseland","M",78,2001-05-05,NA,"Health","Mass Customer","Yes",1
"540","Tresa","Dy","F",80,2001-04-28,"Chemical Engineer","Manufacturing","Mass Customer","No",1
"3112","Terri","Gornal","M",41,2001-04-22,"Internal Auditor","Retail","High Net Worth","Yes",1
"3749","Blondelle","Swynley","F",3,2001-04-21,NA,"IT","Affluent Customer","No",1
"19","Sorcha","Keyson","F",76,2001-04-15,"Geological Engineer","Manufacturing","High Net Worth","No",1
"1355","Isador","Hallitt","M",37,2001-04-04,"VP Quality Control","Property","Mass Customer","No",1
"3616","Vale","Dagnan","M",42,2001-04-02,"Product Engineer","Property","High Net Worth","No",2
"2812","Molli","Hagergham","F",16,2001-04-01,"Budget/Accounting Analyst IV",NA,"High Net Worth","Yes",1
"3014","Terrijo","Merlin","F",59,2001-03-30,"Software Engineer II",NA,"High Net Worth","No",1
"2600","Darnell","Wistance","M",55,2001-03-03,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",1
"829","Byran","Goodfield","M",84,2001-01-22,"Environmental Tech","Financial Services","High Net Worth","Yes",2
"2869","Gavra","Woolvin","F",19,2001-01-16,NA,"Manufacturing","Affluent Customer","No",2
"2392","Isadora","Gronaller","F",48,2001-01-11,"Marketing Assistant","Manufacturing","Affluent Customer","No",2
"2588","Kimball","Martinho","M",37,2001-01-02,"Professor",NA,"High Net Worth","No",2
"2998","Quintana","Housley","F",34,2000-12-19,"Nurse Practicioner","Manufacturing","High Net Worth","Yes",2
"3367","Melisse","Massei","F",75,2000-12-05,"Librarian","Entertainment","Mass Customer","Yes",1
"3459","Emelda","Ramsdell","F",62,2000-11-24,NA,"Entertainment","Mass Customer","Yes",2
"609","Margalit","Dorwood","F",32,2000-11-06,"Computer Systems Analyst II","Health","Mass Customer","No",1
"852","Andie","Bonney","F",37,2000-11-04,"Compensation Analyst","Financial Services","Affluent Customer","Yes",2
"913","Dayle","Spearman","F",67,2000-10-28,NA,"Financial Services","Mass Customer","No",1
"2989","Mort",NA,"M",37,2000-10-25,"Dental Hygienist","Health","High Net Worth","Yes",2
"854","Charisse","Thoresby","F",35,2000-10-24,"Marketing Manager",NA,"Affluent Customer","No",2
"1354","Karee","Hyman","F",0,2000-10-15,"Analyst Programmer","Financial Services","Affluent Customer","No",2
"1798","Eunice","Risom","F",46,2000-10-11,"Electrical Engineer","Manufacturing","High Net Worth","Yes",1
"2398","Mirelle",NA,"F",6,2000-10-11,"Administrative Assistant IV","Financial Services","High Net Worth","Yes",1
"850","Nevin","Hanfrey","M",79,2000-09-24,"Clinical Specialist","Health","Mass Customer","No",1
"3015","Queenie","Flips","F",25,2000-09-02,"Assistant Manager","Retail","Affluent Customer","No",1
"373","Eva","Colenutt","F",95,2000-08-26,"Structural Analysis Engineer","Health","High Net Worth","Yes",1
"3077","Emelen","Gillopp","M",19,2000-08-11,"Information Systems Manager","Manufacturing","Affluent Customer","No",2
"110","Sascha","St. Quintin","M",23,2000-07-31,NA,"Financial Services","Affluent Customer","No",1
"1778","Emera","Margrem","F",72,2000-07-30,"Staff Accountant III",NA,"Mass Customer","Yes",2
"1185","Xena","Rossbrooke","F",17,2000-07-23,"VP Product Management",NA,"Mass Customer","Yes",2
"2024","Elinor","Biggerstaff","F",69,2000-07-14,"VP Sales","IT","Mass Customer","Yes",2
"15","Erroll","Radage","M",91,2000-07-13,"Junior Executive","Manufacturing","Mass Customer","No",1
"2645","Ado","Yaldren","M",20,2000-06-26,"Technical Writer","IT","High Net Worth","Yes",1
"1951","Rockie","MacCosty","M",93,2000-06-07,"Health Coach II","Manufacturing","Mass Customer","Yes",2
"1076","Siegfried","Trattles","M",33,2000-06-06,"Pharmacist","Health","Affluent Customer","No",2
