"customer_id","first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"3949","Costa","Sleightholm","M",24,2001-12-19,"Web Designer IV","Manufacturing","High Net Worth","Yes",1
"3997","Blanch","Nisuis","F",87,2001-07-13,"Statistician II","Manufacturing","High Net Worth","Yes",1
"3607","Troy","Blaydes","M",99,2001-05-22,"Clinical Specialist","Health","Mass Customer","No",1
"3749","Blondelle","Swynley","F",3,2001-04-21,NA,"IT","Affluent Customer","No",1
"3616","Vale","Dagnan","M",42,2001-04-02,"Product Engineer","Property","High Net Worth","No",2
"852","Andie","Bonney","F",37,2000-11-04,"Compensation Analyst","Financial Services","Affluent Customer","Yes",2
"3960","Hobart","Burgan","M",6,2000-03-16,NA,"Property","Mass Customer","No",1
"3954","Archaimbaud","McAteer","M",63,2000-02-03,"Human Resources Assistant III","Financial Services","High Net Worth","No",2
"3850","Alexandro","McCullock","M",55,2000-01-07,"Accountant III",NA,"Mass Customer","Yes",2
"3675","Samuele","Heller","M",88,1999-12-17,"Analog Circuit Design manager","Property","Affluent Customer","Yes",1
"3651","Baxie",NA,"M",91,1999-11-15,"Human Resources Assistant I","Manufacturing","Mass Customer","No",2
"3650","Darrelle","Rosas","F",85,1999-10-21,"Office Assistant I","IT","Mass Customer","Yes",2
"3757","Hyacinthia","Crain","F",75,1999-09-12,"Information Systems Manager",NA,"Affluent Customer","No",2
"3989","Nicolas","Burdass","M",75,1999-06-23,"Environmental Specialist","Argiculture","Affluent Customer","Yes",1
"3953","Allyson","Simak","F",79,1999-06-18,"Help Desk Operator","Health","Affluent Customer","Yes",2
"3908","Dolf","Serridge","M",64,1999-06-09,"Junior Executive","Health","High Net Worth","No",1
"3772","Anselma","Rennie","F",45,1999-02-07,"Physical Therapy Assistant","Manufacturing","Mass Customer","Yes",2
"3674","Rodger","Gores","M",59,1998-12-24,"Tax Accountant","Property","Mass Customer","No",3
"3774","Elizabeth","Christy","F",38,1998-11-07,"Statistician I","Property","High Net Worth","No",2
"3867","Carmelia","Klimentyonok","F",14,1998-10-09,"Geologist II","IT","Mass Customer","Yes",1
"3858","Sabina","Tarbin","F",57,1998-08-31,"Librarian","Entertainment","Mass Customer","Yes",1
"3716","Kari","Bamlett","F",81,1998-08-24,NA,"Retail","Affluent Customer","No",1
"3544","Benoite","Trahmel","F",25,1998-08-13,"Help Desk Technician",NA,"Affluent Customer","No",1
"3985","Caryn","Padbury","F",44,1998-06-21,"Web Developer IV","Property","Mass Customer","No",4
"3990","Reynard","Hagger","M",99,1998-03-05,"Desktop Support Technician","Health","High Net Worth","No",1
"3663","Hermy","Casement","M",62,1998-02-10,"Information Systems Manager",NA,"Affluent Customer","No",1
"3943","Adler","Dredge","M",19,1997-12-30,"VP Accounting","Financial Services","Affluent Customer","No",2
"3917","Artemas","Kyncl","M",79,1997-12-26,"Chemical Engineer","Manufacturing","Mass Customer","No",4
"3502","Wilfrid","Cleaves","M",5,1997-10-16,"Senior Sales Associate","Retail","High Net Worth","Yes",3
"3587","Ines","Galfour","F",85,1997-09-24,NA,NA,"Affluent Customer","No",2
"3609","Chicky","Butterfield","M",69,1997-09-02,"Marketing Manager","Manufacturing","Mass Customer","No",4
"3753","Ebony","Peagrim","F",16,1997-08-21,"Office Assistant II","Manufacturing","Mass Customer","No",3
"3556","Larina","Gheeorghie","F",38,1997-07-05,"Senior Developer","Manufacturing","High Net Worth","No",3
"3868","Rica","Corrado","F",60,1997-06-19,"Social Worker","Health","Affluent Customer","Yes",4
"2074","Roslyn","Rawdall","F",90,1997-06-11,NA,"Financial Services","Mass Customer","No",4
"3811","Etta","Leele","F",60,1997-03-19,NA,"Financial Services","High Net Worth","No",4
"3537","Sholom","Pavlasek","M",1,1997-01-15,"Graphic Designer","Financial Services","Mass Customer","No",4
"3893","Hadria","Moles","F",7,1996-11-18,NA,NA,"High Net Worth","Yes",4
"3573","Mab","Dwyer","F",68,1996-10-16,"Accounting Assistant I","Manufacturing","Mass Customer","Yes",3
"3862","Casey","Kett","F",1,1996-09-22,"Structural Engineer","Health","Mass Customer","No",4
"3525","Town","Yitzhakov","M",55,1996-08-16,"Editor",NA,"Mass Customer","No",2
