"customer_id","first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","default","owns_car","tenure"
"144","Jory","Barrabeale","U",71,NA,"Environmental Tech","IT","Mass Customer","N",NA,"No",NA
"168","Reggie","Broggetti","U",8,NA,"General Manager","IT","Affluent Customer","N",NA,"Yes",NA
"267","Edgar","Buckler","U",53,NA,NA,"IT","High Net Worth","N",NA,"No",NA
"290","Giorgio","Kevane","U",42,NA,"Senior Sales Associate","IT","Mass Customer","N",NA,"No",NA
"451","Marlow","Flowerdew","U",37,NA,"Quality Control Specialist","IT","High Net Worth","N",NA,"No",NA
"453","Cornelius","Yarmouth","U",81,NA,"Assistant Professor","IT","High Net Worth","N",NA,"No",NA
"454","Eugenie","Domenc","U",58,NA,"Research Nurse","Health","Affluent Customer","N",NA,"Yes",NA
"480","Darelle","Ive","U",67,NA,"Registered Nurse","Health","Mass Customer","N",NA,"Yes",NA
"513","Kienan","Soar","U",30,NA,"Tax Accountant","IT","Mass Customer","N",NA,"No",NA
"526","Ardelle",NA,"U",9,NA,"Social Worker","Health","Mass Customer","N",NA,"Yes",NA
"548","Georgie","Cudbertson","U",84,NA,NA,"IT","High Net Worth","N",NA,"Yes",NA
"582","Rhoda","McKeown","U",21,NA,"Staff Scientist","IT","Affluent Customer","N",NA,"No",NA
"599","Ernestus","Cruden","U",48,NA,"Senior Financial Analyst","Financial Services","Mass Customer","N",NA,"Yes",NA
"680","Gay","Pickersgill","U",22,NA,NA,"IT","High Net Worth","N",NA,"Yes",NA
"685","Booth","Birkin","U",28,NA,"Senior Developer","IT","Mass Customer","N",NA,"No",NA
"799","Harland","Spilisy","U",39,NA,"Programmer I","IT","Mass Customer","N",NA,"Yes",NA
"839","Charis","Greaves","U",14,NA,"Structural Analysis Engineer","IT","Mass Customer","N",NA,"Yes",NA
"883","Lolita","Bennie","U",73,NA,"Recruiter","IT","Mass Customer","N",NA,"Yes",NA
"892","Conroy","Healy","U",22,NA,"Office Assistant II","IT","Mass Customer","N",NA,"Yes",NA
"950","Bret","Ivakhnov","U",24,NA,"Recruiter","IT","High Net Worth","N",NA,"Yes",NA
"975","Goldarina","Rzehorz","U",26,NA,"Automation Specialist IV","IT","Mass Customer","N",NA,"No",NA
"983","Shaylyn","Riggs","U",49,NA,NA,"IT","Affluent Customer","N",NA,"No",NA
"996","Aura","Bemlott","U",67,NA,"Assistant Manager","IT","Mass Customer","N",NA,"Yes",NA
"1038","Fraser","Acome","U",57,NA,"Engineer I","Manufacturing","Mass Customer","N",NA,"Yes",NA
"1044","Frederico","Whilder","U",4,NA,"Food Chemist","Health","High Net Worth","N",NA,"No",NA
"1082","Guinevere","Kelby","U",90,NA,"Financial Analyst","Financial Services","Mass Customer","N",NA,"Yes",NA
"1174","Shellysheldon","Gooderridge","U",9,NA,"Executive Secretary","IT","Mass Customer","N",NA,"No",NA
"1210","Shandie","Sprigg","U",81,NA,"Programmer II","IT","Mass Customer","N",NA,"No",NA
"1244","Glenn","Tinham","U",80,NA,"Financial Analyst","Financial Services","Mass Customer","N",NA,"Yes",NA
"1351","Lorettalorna",NA,"U",32,NA,"Office Assistant IV","IT","High Net Worth","N",NA,"No",NA
"1477","Leo","Balharry","U",42,NA,"Actuary","Financial Services","Mass Customer","N",NA,"Yes",NA
"1509","Sibley","Janek","U",10,NA,"Computer Systems Analyst I","IT","High Net Worth","N",NA,"Yes",NA
"1583","Krysta","O' Reagan","U",18,NA,"Geologist IV","IT","Mass Customer","N",NA,"Yes",NA
"1628","Hermione","Brereton","U",13,NA,"Assistant Manager","IT","Mass Customer","N",NA,"No",NA
