"customer_name","gender","past_3_years_bike_related_purchases","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","lat","lon","age_group","job_type","Median salary or wages"
"Chickie Brister","M",86,"Manufacturing","Mass Customer","Yes",14,"45","Shopko Center",4500,"QLD","Australia",6,-27.3137627571681,152.981263107015,"65+","Managerial",51356
"Morly Genery","M",69,"Property","Mass Customer","No",16,"14","Mccormick Park",2113,"NSW","Australia",11,-33.7925130242248,151.126867921555,"45-54","Technical",58271
"Lucine Stutt","F",64,"Manufacturing","Affluent Customer","Yes",5,"207","Annamark Plaza",4814,"QLD","Australia",1,-19.3028330412935,146.751780623537,"35-44","Administrative",52016
"Melinda Hadlee","F",34,"Financial Services","Affluent Customer","No",19,"115","Montana Place",2093,"NSW","Australia",9,-33.7915116714286,151.261056984381,"55-64","Technical",59976
"Druci Brandli","F",39,"Entertainment","High Net Worth","Yes",22,"89105","Pearson Terrace",4075,"QLD","Australia",7,-27.5428294547725,152.978979534508,"65+","Administrative",56694
"Rutledge Hallt","M",23,"Financial Services","Mass Customer","No",8,"7","Nevada Crossing",2620,"NSW","Australia",7,-35.5951781,149.2095943938,"45-54","Technical",59378
"Nancie Vian","F",74,"Retail","Mass Customer","Yes",10,"85","Carioca Point",4814,"QLD","Australia",5,-19.3028330412935,146.751780623537,"45-54","Administrative",52016
"Duff Karlowicz","M",50,"Manufacturing","Mass Customer","Yes",5,"717","West Drive",2200,"NSW","Australia",10,-33.9179312734903,151.030705594586,"45-54","Healthcare",43005
"Barthel Docket","M",72,"IT","Mass Customer","Yes",17,"80","Scofield Junction",4151,"QLD","Australia",5,-27.4998219049592,153.061915174284,"35-44","Administrative",55483
"Rockwell Matson","M",94,"Retail","High Net Worth","No",3,"3682","Crowley Point",4573,"QLD","Australia",6,-26.492217545122,153.091382807139,"25-34","Technical",45000
"Wheeler Winward","M",48,"Manufacturing","Mass Customer","No",10,"3","Golden Leaf Point",3216,"VIC","Australia",8,-38.1800909541592,144.335073359887,"18-24","Technical",46270
"Olag","M",60,"Telecommunications","Mass Customer","No",9,"484","North Avenue",2032,"NSW","Australia",11,-33.9241993975731,151.230666532263,"25-34","Managerial",49022
"Melba Spellacy","F",38,"Health","Mass Customer","No",4,"591","Anzinger Circle",2232,"NSW","Australia",10,-34.0297099230114,151.060846702591,"45-54","Managerial",58410
"Mandie Feares","F",32,"Health","Mass Customer","No",10,"39","Kedzie Pass",4053,"QLD","Australia",8,-27.4003306967121,152.992586381134,"55-64","Technical",56792
"Dukie Swire","M",88,"Manufacturing","Affluent Customer","Yes",5,"64","Granby Parkway",2500,"NSW","Australia",8,-34.4238216364706,150.891130829669,"65+","Technical",47555
"Marcelia Monkleigh","F",61,"Manufacturing","Mass Customer","Yes",4,"610","Swallow Street",4051,"QLD","Australia",6,-27.4260955404581,153.00350286664,"25-34","Other",59144
"Odilia Quick","F",65,"Manufacturing","Affluent Customer","Yes",11,"1550","Russell Way",2222,"NSW","Australia",11,-33.966316355,151.090115736633,"65+","Managerial",47763
"Karly Willavize","F",2,"Manufacturing","High Net Worth","No",12,"193","North Point",2190,"NSW","Australia",10,-33.900851,151.055369964887,"65+","Other",43352
"Teddie Burchill","M",11,"Manufacturing","Mass Customer","Yes",13,"321","Raven Plaza",2161,"NSW","Australia",9,-33.8561219847812,150.984468580003,"55-64","Technical",44650
"Gaston Dallaghan","M",44,"Financial Services","Mass Customer","Yes",8,"656","Fuller Street",2783,"NSW","Australia",7,-33.7262383926829,150.42585187112,"25-34","Technical",47263
"Otis Ottey","M",26,"Manufacturing","Mass Customer","No",3,"1562","Merchant Street",4744,"QLD","Australia",4,-21.99767945,148.044470552312,"25-34","Technical",80839
"Brena Schnitter","F",78,"Manufacturing","Mass Customer","No",4,"67","Shelley Street",4703,"QLD","Australia",5,-23.0997791340909,150.735065533063,"35-44","Other",50800
