"customer_name","gender","customer_id","past_3_years_bike_related_purchases","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Target","lat","lon","age_group","job_type","Median salary or wages"
"Anselm Gawne","M","66",46,"Argiculture","High Net Worth","No",1,"163","Straubel Trail",2217,"NSW","Australia",10,"Mid-Value",-33.9712082457447,151.135167928865,"18-24","Other",50102
"Sibyl Scholtz","F","1888",67,"Health","Mass Customer","Yes",1,"9","Emmet Hill",2042,"NSW","Australia",10,"Low-Value",-33.8971000912879,151.179130790648,"18-24","Healthcare",59769
"Stevena Allcock","F","3435",80,"Manufacturing","Affluent Customer","No",1,"400","Petterle Crossing",4301,"QLD","Australia",3,"Low-Value",-27.6455961244194,152.862925244542,"18-24","Other",46606
"Benedicto Radki","M","2858",4,"Manufacturing","Mass Customer","Yes",1,"555","Tomscot Plaza",2044,"NSW","Australia",10,"Low-Value",-33.9156097183066,151.171158948309,"18-24","Managerial",58731
"Vito Norker","M","422",78,"Manufacturing","Affluent Customer","No",1,"509","Fisk Hill",2031,"NSW","Australia",11,"Low-Value",-33.9155030186822,151.24522472049,"18-24","Quantitative",64202
"Nathalia Sanger","F","2296",16,"Retail","Affluent Customer","No",1,"23","Village Way",4215,"QLD","Australia",9,"Mid-Value",-27.962496031677,153.406879311547,"18-24","Other",41612
"Darbee Klimowicz","M","470",22,"Retail","Mass Customer","No",1,"0","Golf Lane",2120,"NSW","Australia",11,"High-Value",-33.7290704166667,151.076926770129,"18-24","Other",60216
"Hillier Andraud","M","1402",58,"Telecommunications","Mass Customer","No",1,"42829","Charing Cross Road",3107,"VIC","Australia",8,"High-Value",-37.7721549544534,145.122192939292,"18-24","Administrative",50237
"Marwin Jeyness","M","1519",35,"Telecommunications","High Net Worth","Yes",1,"7","Bartillon Circle",2260,"NSW","Australia",8,"High-Value",-33.4295432767857,151.431823256636,"18-24","Administrative",49358
"Nanice Ellse","F","212",21,"IT","Affluent Customer","No",1,"417","Transport Trail",4503,"QLD","Australia",4,"Low-Value",-27.2353301176035,152.976109015268,"18-24","Technical",49716
"Melodee Hendrik","F","2759",16,"Health","Affluent Customer","Yes",1,"68111","Bartillon Court",3995,"VIC","Australia",3,"Low-Value",-38.60933216625,145.611619663865,"18-24","Other",38190
"Brittany Peasey","F","447",98,"Argiculture","Mass Customer","Yes",1,"93","Jana Junction",2213,"NSW","Australia",10,"High-Value",-33.952715326069,150.996173924121,"18-24","Technical",53920
"Jacklyn Kewley","F","1250",42,"Manufacturing","Mass Customer","No",1,"795","Arapahoe Hill",4818,"QLD","Australia",7,"High-Value",-19.253840100715,146.68326146659,"18-24","Technical",54655
"Amie Dufty","F","751",41,"Financial Services","Affluent Customer","No",1,"5","Dahle Trail",2117,"NSW","Australia",10,"Low-Value",-33.797093772973,151.04006832158,"18-24","Technical",50400
"Kathye Christie","F","1322",37,"Financial Services","Mass Customer","Yes",1,"276","Hoffman Road",4017,"QLD","Australia",8,"Low-Value",-27.316013246057,153.048558541819,"18-24","Other",53055
"Angelo","M","3173",55,"Health","Mass Customer","Yes",1,"8","Erie Center",3690,"VIC","Australia",2,"Mid-Value",-36.1368317263675,146.870722025157,"18-24","Technical",46941
"Linc Vedyasov","M","442",2,"Financial Services","Mass Customer","No",1,"3","Sutteridge Park",4074,"QLD","Australia",6,"High-Value",-27.5506185256115,152.925313979753,"18-24","Managerial",54609
"Noell Grahlmans","F","245",6,"Financial Services","Affluent Customer","No",1,"7227","Hoard Terrace",3500,"VIC","Australia",1,"High-Value",-34.1907804168675,142.153340423591,"18-24","Other",42086
"Maribeth Pristnor","F","105",25,"Manufacturing","Mass Customer","No",1,"8611","Loomis Lane",2155,"NSW","Australia",10,"Low-Value",-33.6963501305118,150.933886619322,"18-24","Managerial",61221
"Preston Tinkham","M","2808",68,"Financial Services","Mass Customer","Yes",1,"1","Elgar Street",2010,"NSW","Australia",9,"High-Value",-33.8835501127389,151.211522037291,"18-24","Quantitative",61100
"Lissy Paliser","F","3254",8,"Financial Services","Mass Customer","No",1,"50602","Katie Lane",4701,"QLD","Australia",6,"Mid-Value",-23.3478986801282,150.535229514738,"18-24","Administrative",50325
"Giselbert Gudyer","M","2628",29,"Entertainment","Affluent Customer","No",1,"804","Shelley Junction",2567,"NSW","Australia",7,"Low-Value",-34.0428135076923,150.744314553532,"18-24","Administrative",55859
"Reeva Eakeley","F","1813",45,"Manufacturing","Mass Customer","No",1,"156","Lakeland Way",4035,"QLD","Australia",9,"High-Value",-27.3558690951194,152.995835291416,"18-24","Other",55688
"Howard Oseland","M","874",78,"Health","Mass Customer","Yes",1,"2","School Street",2010,"NSW","Australia",10,"Mid-Value",-33.8835501127389,151.211522037291,"18-24","Healthcare",61100
"Tresa Dy","F","540",80,"Manufacturing","Mass Customer","No",1,"7671","Oak Valley Junction",2170,"NSW","Australia",9,"Mid-Value",-33.9264704636,150.912612024628,"18-24","Technical",49851
"Terri Gornal","M","3112",41,"Retail","High Net Worth","Yes",1,"944","Becker Road",3162,"VIC","Australia",11,"High-Value",-37.8859776866667,145.02300006839,"18-24","Other",52000
"Sorcha Keyson","F","19",76,"Manufacturing","High Net Worth","No",1,"59","Spaight Circle",2233,"NSW","Australia",9,"Low-Value",-34.0646286349749,151.014058327628,"18-24","Technical",56891
"Isador Hallitt","M","1355",37,"Property","Mass Customer","No",1,"7006","Miller Avenue",3444,"VIC","Australia",4,"High-Value",-37.2461190176306,144.454904192605,"18-24","Managerial",46678
"Molli Hagergham","F","2812",16,"Retail","High Net Worth","Yes",1,"5636","Glendale Point",2769,"NSW","Australia",10,"Mid-Value",-33.7059461722222,150.901315826474,"18-24","Technical",67801
"Terrijo Merlin","F","3014",59,"Property","High Net Worth","No",1,"26378","Esch Junction",2065,"NSW","Australia",10,"High-Value",-33.8254618310602,151.200535088518,"18-24","Technical",73452
"Darnell Wistance","M","2600",55,"Financial Services","Mass Customer","Yes",1,"37258","Stephen Place",4116,"QLD","Australia",9,"Low-Value",-27.626488636939,153.052149144106,"18-24","Technical",46439
"Byran Goodfield","M","829",84,"Financial Services","High Net Worth","Yes",2,"77","Nova Junction",3218,"VIC","Australia",8,"High-Value",-38.1370778991906,144.345386144354,"18-24","Other",49276
"Gavra Woolvin","F","2869",19,"Manufacturing","Affluent Customer","No",2,"4470","Mcguire Trail",2070,"NSW","Australia",9,"Low-Value",-33.7736715105263,151.171963502104,"18-24","Technical",60989
"Isadora Gronaller","F","2392",48,"Manufacturing","Affluent Customer","No",2,"69810","Westridge Avenue",2573,"NSW","Australia",6,"Mid-Value",-34.2271987369565,150.587433498031,"18-24","Administrative",50000
"Kimball Martinho","M","2588",37,"Health","High Net Worth","No",2,"50","Londonderry Park",2034,"NSW","Australia",10,"Low-Value",-33.9066714598765,151.259946134591,"18-24","Other",64979
"Quintana Housley","F","2998",34,"Manufacturing","High Net Worth","Yes",2,"99","Lawn Court",4556,"QLD","Australia",7,"Low-Value",-26.6739260196765,153.073408089854,"18-24","Healthcare",45026
"Melisse Massei","F","3367",75,"Entertainment","Mass Customer","Yes",1,"3","Weeping Birch Plaza",3677,"VIC","Australia",2,"Mid-Value",-36.3574869467742,146.315838898128,"18-24","Other",43820
"Emelda Ramsdell","F","3459",62,"Entertainment","Mass Customer","Yes",2,"654","Logan Plaza",4113,"QLD","Australia",10,"Low-Value",-27.5891353029754,153.083304703618,"18-24","Administrative",41590
"Margalit Dorwood","F","609",32,"Health","Mass Customer","No",1,"55","Birchwood Alley",2176,"NSW","Australia",9,"Mid-Value",-33.8727681204545,150.892585208625,"18-24","Technical",48326
"Dayle Spearman","F","913",67,"Financial Services","Mass Customer","No",1,"2","Derek Pass",2222,"NSW","Australia",7,"Low-Value",-33.966316355,151.090115736633,"18-24","Managerial",47763
"Mort","M","2989",37,"Health","High Net Worth","Yes",2,"60","Fulton Trail",2234,"NSW","Australia",10,"Mid-Value",-34.0097225397059,151.021161199409,"18-24","Other",56498
"Charisse Thoresby","F","854",35,"IT","Affluent Customer","No",2,"56","Graceland Alley",3031,"VIC","Australia",7,"High-Value",-37.7898009759416,144.927415330188,"18-24","Managerial",57372
"Karee Hyman","F","1354",0,"Financial Services","Affluent Customer","No",2,"0","Ramsey Place",3444,"VIC","Australia",4,"Low-Value",-37.2461190176306,144.454904192605,"18-24","Technical",46678
"Eunice Risom","F","1798",46,"Manufacturing","High Net Worth","Yes",1,"93","Lakeland Court",3810,"VIC","Australia",6,"High-Value",-38.0746169223958,145.461281269667,"18-24","Technical",48046
"Mirelle","F","2398",6,"Financial Services","High Net Worth","Yes",1,"57","Tennessee Alley",4034,"QLD","Australia",5,"Low-Value",-27.3585811122162,153.034066724728,"18-24","Administrative",51822
"Nevin Hanfrey","M","850",79,"Health","Mass Customer","No",1,"36","Kedzie Terrace",2163,"NSW","Australia",9,"High-Value",-33.8855384178571,150.973973547509,"18-24","Technical",41633
"Queenie Flips","F","3015",25,"Retail","Affluent Customer","No",1,"2942","Swallow Trail",4214,"QLD","Australia",9,"Mid-Value",-27.9695690154362,153.369461589082,"18-24","Managerial",44940
"Eva Colenutt","F","373",95,"Health","High Net Worth","Yes",1,"67884","Fair Oaks Parkway",3931,"VIC","Australia",9,"Low-Value",-38.2268174851852,145.049984098119,"18-24","Technical",47250
"Emelen Gillopp","M","3077",19,"Manufacturing","Affluent Customer","No",2,"25578","Mayfield Drive",2099,"NSW","Australia",10,"High-Value",-33.7485063201475,151.28461830512,"18-24","Managerial",52108
"Sascha St. Quintin","M","110",23,"Financial Services","Affluent Customer","No",1,"5","Moose Road",3977,"VIC","Australia",8,"High-Value",-38.0955446155503,145.266612213336,"18-24","Managerial",49058
"Emera Margrem","F","1778",72,"Property","Mass Customer","Yes",2,"8","Vermont Pass",3930,"VIC","Australia",9,"Low-Value",-38.1818516052011,145.090334508824,"18-24","Quantitative",53349
"Xena Rossbrooke","F","1185",17,"Retail","Mass Customer","Yes",2,"86","Stang Way",2213,"NSW","Australia",10,"High-Value",-33.952715326069,150.996173924121,"18-24","Managerial",53920
"Elinor Biggerstaff","F","2024",69,"IT","Mass Customer","Yes",2,"53358","David Circle",4306,"QLD","Australia",3,"Mid-Value",-27.5407665098457,152.809663510874,"18-24","Managerial",54182
"Erroll Radage","M","15",91,"Manufacturing","Mass Customer","No",1,"9861","New Castle Avenue",2428,"NSW","Australia",9,"Mid-Value",-32.2710300731884,152.507244874057,"18-24","Other",39126
"Ado Yaldren","M","2645",20,"IT","High Net Worth","Yes",1,"78","Shasta Place",2135,"NSW","Australia",12,"Mid-Value",-33.8770709538462,151.088543550564,"18-24","Other",42959
"Rockie MacCosty","M","1951",93,"Manufacturing","Mass Customer","Yes",2,"2","Manufacturers Parkway",3199,"VIC","Australia",6,"Low-Value",-38.1523235947475,145.139283061909,"18-24","Healthcare",48111
"Siegfried Trattles","M","1076",33,"Health","Affluent Customer","No",2,"44","Ramsey Road",2515,"NSW","Australia",9,"High-Value",-34.2969561475,150.938022306187,"18-24","Healthcare",56728
"Meagan Ferry","F","2731",74,"Retail","Mass Customer","Yes",1,"4","Schmedeman Court",2196,"NSW","Australia",10,"High-Value",-33.928075563242,151.052460633086,"18-24","Administrative",44116
"Roch Rilston","F","3482",71,"Health","Affluent Customer","Yes",2,"54613","Service Court",4069,"QLD","Australia",8,"High-Value",-27.5088496642113,152.934511003836,"18-24","Technical",57776
"Meggi Shipcott","F","2729",76,"Health","Mass Customer","Yes",1,"304","Moland Street",3810,"VIC","Australia",5,"High-Value",-38.0746169223958,145.461281269667,"18-24","Managerial",48046
"Aloysius Huffer","M","2504",52,"Property","Mass Customer","No",2,"7","Lake View Street",4060,"QLD","Australia",9,"Low-Value",-27.4427596335901,152.986416494925,"18-24","Quantitative",60295
"Rabi Nissle","M","519",83,"Retail","Mass Customer","Yes",1,"2595","Grover Drive",3124,"VIC","Australia",12,"Low-Value",-37.8321231737466,145.068192335726,"18-24","Quantitative",54127
"Zed Blanckley","M","3201",61,"Financial Services","Mass Customer","Yes",1,"20","Bartillon Park",2767,"NSW","Australia",8,"Mid-Value",-33.7663539035714,150.871047304662,"18-24","Administrative",52064
"Cleveland Islep","M","2541",17,"Financial Services","High Net Worth","Yes",2,"6865","Duke Trail",2234,"NSW","Australia",10,"Mid-Value",-34.0097225397059,151.021161199409,"18-24","Technical",56498
"Orson Tythacott","M","3363",25,"Manufacturing","High Net Worth","Yes",3,"8","Village Street",4825,"QLD","Australia",5,"High-Value",-20.727222775,139.411614781527,"18-24","Technical",64930
"Wood Nathan","M","3089",27,"Manufacturing","Affluent Customer","Yes",2,"7","Westridge Terrace",4504,"QLD","Australia",7,"Mid-Value",-27.2046779557756,152.968318192011,"18-24","Technical",52246
"Crosby Ruoff","M","2134",16,"Manufacturing","Affluent Customer","No",2,"654","Kim Parkway",3175,"VIC","Australia",3,"Mid-Value",-38.010267383586,145.198145076446,"18-24","Healthcare",42250
